Disease,Symptoms,Type
Dyshidrotic Eczema,small blisters on hands/feet,Normal
Pinworms,"restless sleep, itching around anus",Normal
Necrotizing Fasciitis,"intense pain, redness",Critical
Q Fever,fever,Serious
Tay-Sachs Disease,"loss of motor skills, vision loss, seizures",Critical
Sleep Apnea,"headache, fatigue, breathing pauses during sleep, snoring",Serious
Erythema Multiforme,target-like skin lesions,Normal
Bunions,bony bump at base of big toe,Normal
Dermatitis Herpetiformis,very itchy blisters on elbows/knees,Serious
Miliaria (Heat Rash),small itchy bumps from sweat,Normal
Depression,"loss of interest, sleep problems, sadness, fatigue",Serious
Vitiligo,"loss of skin color, patches",Normal
Frozen Shoulder,"shoulder pain, stiffness",Normal
Hirsutism,excessive hair growth in women,Normal
Herpangina,small ulcers in back of throat,Normal
Neck Pain,"neck stiffness, headaches, pain",Normal
Gianotti-Crosti Syndrome,rash on limbs after infection,Normal
Acne Vulgaris,"pimples, oily skin, blackheads",Normal
Marfan Syndrome,"heart murmurs, tall/thin build",Serious
Angina,"shortness of breath, fatigue, chest pain, pressure",Serious
Gastritis,"indigestion, vomiting, bloating, nausea",Normal
Asthma,"coughing, fatigue, shortness of breath, wheezing, chest tightness",Serious
Brain Tumor,"seizures, nausea, headache, vision problems",Critical
Dysgraphia,"difficulty writing, poor handwriting",Normal
Excessive Sweating,uncontrolled sweating,Normal
Tooth Decay,"black spots, sensitivity, toothache",Normal
Pulmonary Embolism,"breathlessness, cough, sudden chest pain",Critical
Lactose Intolerance,"gas, diarrhea after dairy, bloating",Normal
Photosensitivity,rash after sun exposure,Normal
Kidney Failure,"decreased urination, fatigue, swelling",Critical
Hidradenitis Suppurativa,painful lumps in armpits/groin,Serious
Hypertrophic Scars,raised red scars within injury site,Normal
Myopia,difficulty seeing far objects,Normal
Macular Degeneration,blurred central vision,Serious
Sleepwalking,"walking while asleep, no memory",Normal
Abscessed Tooth,"fever, swelling, severe toothache",Serious
Prostate Cancer,"pelvic pain, difficulty urinating",Critical
Chickenpox,"fatigue, fever, loss of appetite",Normal
Toxic Epidermal Necrolysis,widespread skin peeling,Critical
Pressure Sores (Bedsores),skin breakdown from prolonged pressure,Serious
Heart Failure,"shortness of breath, fatigue, swelling, cough",Critical
Listeriosis,"fever, stiff neck",Serious
Spinal Stenosis,"leg numbness while walking, back pain",Serious
Gallbladder Attack,"severe upper right pain, nausea",Serious
Flat Feet,entire sole touches floor,Normal
Esophageal Cancer,"chest pain, difficulty swallowing, weight loss",Critical
Abscessed Tooth,"fever, swelling, severe toothache",Serious
Trichotillomania,hair pulling disorder,Normal
Wegener's Granulomatosis,"sinus pain, kidney issues, cough",Serious
Gigantism,"fatigue, joint pain, abnormal growth",Serious
Vitamin B12 Deficiency,"fatigue, tongue soreness, tingling",Normal
Hantavirus,fever,Critical
Chronic Fatigue Syndrome,memory issues,Serious
Cardiomyopathy,"shortness of breath, swelling, dizziness, fatigue",Serious
Dry Eye Syndrome,"gritty feeling, blurred vision",Normal
Ankylosing Spondylitis,"back pain, stiffness in morning",Serious
Boils,"swelling, painful lumps",Normal
MERS,"fever, cough, shortness of breath",Critical
Tinea Cruris,jock itch,Normal
Dermatographism,raised marks after scratching skin,Normal
Traction Alopecia,hair loss from tight styles,Normal
Whooping Cough,"vomiting, whooping sound, severe coughing",Serious
Phenylketonuria,musty breath,Serious
Pruritus (Itching),unpleasant sensation inciting scratch,Normal
Tinnitus,"ringing in ears, buzzing",Normal
Tuberculosis,"chest pain, night sweats, weight loss, persistent cough, fatigue",Serious
PCOS,"weight gain, acne, hair growth, irregular periods",Normal
Body Odor,unpleasant smell from sweat,Normal
Alzheimer's Disease,"memory loss, confusion, difficulty thinking",Critical
Otitis Media,"earache, fluid in ear",Normal
Cholera,"dehydration, severe diarrhea, vomiting, weakness",Serious
Ebola Virus,"muscle pain, fever, weakness",Critical
Lung Cancer,"fatigue, weight loss, persistent cough, chest pain",Critical
Pulmonary Embolism,"cough, breathlessness, dizziness, sudden chest pain",Critical
Type 2 Diabetes,blurred vision,Serious
Croup,"barking cough, hoarseness, fever",Normal
Gouty Arthritis,"redness, sudden intense joint pain",Serious
Flat Feet,entire sole touches floor,Normal
Ringworm,"redness, circular rash",Normal
Skin Tags,small flesh-colored growths,Normal
Nummular Eczema,coin-shaped itchy skin patches,Normal
Zika Virus,"joint pain, fever, rash, red eyes",Normal
Hepatitis C,"loss of appetite, fatigue",Serious
Sleeping Sickness,"sleep disruption, fever",Critical
Tonsil Stones,"sore throat, white debris",Normal
Rickets,"delayed growth, bowed legs",Serious
Melanoma,"dark spots, itching, mole changes, bleeding",Critical
Plague (Bubonic),swollen lymph nodes (buboes),Critical
Phenylketonuria,"skin rash, musty breath, tremors",Serious
Stuttering,"repetition of sounds, speech blocks",Normal
Kidney Cancer,weight loss,Critical
Tendinitis,"swelling, pain at tendon site",Normal
Muscular Dystrophy,"frequent falls, walking difficulty",Critical
Brain Tumor,"seizures, nausea, headache, vision problems",Critical
Peripheral Artery Disease,"leg pain, numbness, weakness, cold limbs",Serious
Hypoglycemia,"hunger, confusion, dizziness, sweating",Serious
RSV,"cough, runny nose, wheezing, fever",Normal
Fragile X Syndrome,"developmental delays, learning disabilities",Serious
Ulcerative Colitis,"fatigue, weight loss, abdominal pain, bloody diarrhea",Serious
Gout,"redness, tenderness, joint pain, swelling",Normal
Cushing Syndrome,"weight gain, fatigue, muscle weakness",Serious
Erectile Dysfunction,"difficulty maintaining erection, low libido",Normal
Gingivitis,"bleeding, swollen gums, bad breath",Normal
Sleeping Sickness,sleep disruption,Critical
Lipoma,soft fatty lump under skin,Normal
Aphasia,difficulty speaking or understanding,Serious
Appendicitis,"nausea, lower abdominal pain, vomiting, fever",Serious
Ringworm,"itching, circular rash",Normal
Herniated Disc,"back pain, numbness, leg pain",Serious
Oral Thrush,"soreness, white patches in mouth",Normal
Schizophrenia,"delusions, hallucinations, confusion",Critical
Spondylolisthesis,"stiffness, lower back pain",Serious
Hepatitis,"nausea, abdominal pain, jaundice, dark urine",Serious
Dementia,"behavior changes, confusion",Serious
Dyscalculia,difficulty with numbers/math,Normal
Hydatid Disease,"cysts in liver or lungs, pain",Serious
Heart Attack,"nausea, sweating, chest pain",Critical
Concussion,"memory loss, confusion, dizziness, headache",Serious
Shigellosis,"fever, bloody diarrhea, stomach pain",Serious
Mumps,"swollen glands, headache, fever",Normal
Dengue,"headache, rash, joint pain, fever",Serious
Pericarditis,weakness,Serious
Sweet Syndrome,fever and painful skin lesions,Serious
Sinusitis,"headache, facial pain, pressure, runny nose, nasal congestion",Normal
Hiatal Hernia,difficulty swallowing,Serious
